Step,AgentID,Wealth,Position,Exp name,Vision,Tax Rate,Ams map,Death,Inst regrowth
0,0,5.0,"(9, 38)",taxation,6,0.5,False,True,False
0,1,5.0,"(6, 33)",taxation,6,0.5,False,True,False
0,2,5.0,"(10, 14)",taxation,6,0.5,False,True,False
0,3,5.0,"(32, 10)",taxation,6,0.5,False,True,False
0,4,5.0,"(4, 28)",taxation,6,0.5,False,True,False
0,5,5.0,"(25, 24)",taxation,6,0.5,False,True,False
0,6,5.0,"(44, 12)",taxation,6,0.5,False,True,False
0,7,5.0,"(42, 46)",taxation,6,0.5,False,True,False
0,8,5.0,"(9, 20)",taxation,6,0.5,False,True,False
0,9,5.0,"(36, 12)",taxation,6,0.5,False,True,False
0,10,5.0,"(31, 8)",taxation,6,0.5,False,True,False
0,11,5.0,"(23, 25)",taxation,6,0.5,False,True,False
0,12,5.0,"(17, 0)",taxation,6,0.5,False,True,False
0,13,5.0,"(44, 19)",taxation,6,0.5,False,True,False
0,14,5.0,"(27, 42)",taxation,6,0.5,False,True,False
0,15,5.0,"(30, 24)",taxation,6,0.5,False,True,False
0,16,5.0,"(44, 30)",taxation,6,0.5,False,True,False
0,17,5.0,"(44, 18)",taxation,6,0.5,False,True,False
0,18,5.0,"(31, 18)",taxation,6,0.5,False,True,False
0,19,5.0,"(18, 25)",taxation,6,0.5,False,True,False
0,20,5.0,"(16, 36)",taxation,6,0.5,False,True,False
0,21,5.0,"(15, 34)",taxation,6,0.5,False,True,False
0,22,5.0,"(35, 9)",taxation,6,0.5,False,True,False
0,23,5.0,"(41, 10)",taxation,6,0.5,False,True,False
0,24,5.0,"(38, 28)",taxation,6,0.5,False,True,False
0,25,5.0,"(45, 21)",taxation,6,0.5,False,True,False
0,26,5.0,"(38, 35)",taxation,6,0.5,False,True,False
0,27,5.0,"(36, 46)",taxation,6,0.5,False,True,False
0,28,5.0,"(27, 8)",taxation,6,0.5,False,True,False
0,29,5.0,"(37, 27)",taxation,6,0.5,False,True,False
0,30,5.0,"(49, 41)",taxation,6,0.5,False,True,False
0,31,5.0,"(0, 6)",taxation,6,0.5,False,True,False
0,32,5.0,"(34, 36)",taxation,6,0.5,False,True,False
0,33,5.0,"(35, 7)",taxation,6,0.5,False,True,False
0,34,5.0,"(25, 13)",taxation,6,0.5,False,True,False
0,35,5.0,"(5, 23)",taxation,6,0.5,False,True,False
0,36,5.0,"(16, 26)",taxation,6,0.5,False,True,False
0,37,5.0,"(7, 28)",taxation,6,0.5,False,True,False
0,38,5.0,"(25, 34)",taxation,6,0.5,False,True,False
0,39,5.0,"(29, 37)",taxation,6,0.5,False,True,False
0,40,5.0,"(22, 48)",taxation,6,0.5,False,True,False
0,41,5.0,"(33, 31)",taxation,6,0.5,False,True,False
0,42,5.0,"(2, 44)",taxation,6,0.5,False,True,False
0,43,5.0,"(19, 15)",taxation,6,0.5,False,True,False
0,44,5.0,"(7, 24)",taxation,6,0.5,False,True,False
0,45,5.0,"(33, 20)",taxation,6,0.5,False,True,False
0,46,5.0,"(30, 27)",taxation,6,0.5,False,True,False
0,47,5.0,"(1, 12)",taxation,6,0.5,False,True,False
0,48,5.0,"(16, 37)",taxation,6,0.5,False,True,False
0,49,5.0,"(41, 48)",taxation,6,0.5,False,True,False
0,50,5.0,"(3, 38)",taxation,6,0.5,False,True,False
0,51,5.0,"(13, 35)",taxation,6,0.5,False,True,False
0,52,5.0,"(34, 9)",taxation,6,0.5,False,True,False
0,53,5.0,"(33, 0)",taxation,6,0.5,False,True,False
0,54,5.0,"(21, 18)",taxation,6,0.5,False,True,False
0,55,5.0,"(13, 37)",taxation,6,0.5,False,True,False
0,56,5.0,"(23, 45)",taxation,6,0.5,False,True,False
0,57,5.0,"(3, 3)",taxation,6,0.5,False,True,False
0,58,5.0,"(38, 28)",taxation,6,0.5,False,True,False
0,59,5.0,"(32, 11)",taxation,6,0.5,False,True,False
0,60,5.0,"(34, 43)",taxation,6,0.5,False,True,False
0,61,5.0,"(34, 1)",taxation,6,0.5,False,True,False
0,62,5.0,"(49, 29)",taxation,6,0.5,False,True,False
0,63,5.0,"(9, 28)",taxation,6,0.5,False,True,False
0,64,5.0,"(23, 38)",taxation,6,0.5,False,True,False
0,65,5.0,"(12, 40)",taxation,6,0.5,False,True,False
0,66,5.0,"(37, 20)",taxation,6,0.5,False,True,False
0,67,5.0,"(46, 30)",taxation,6,0.5,False,True,False
0,68,5.0,"(30, 29)",taxation,6,0.5,False,True,False
0,69,5.0,"(3, 36)",taxation,6,0.5,False,True,False
0,70,5.0,"(36, 5)",taxation,6,0.5,False,True,False
0,71,5.0,"(10, 37)",taxation,6,0.5,False,True,False
0,72,5.0,"(13, 46)",taxation,6,0.5,False,True,False
0,73,5.0,"(4, 8)",taxation,6,0.5,False,True,False
0,74,5.0,"(10, 27)",taxation,6,0.5,False,True,False
0,75,5.0,"(10, 40)",taxation,6,0.5,False,True,False
0,76,5.0,"(39, 15)",taxation,6,0.5,False,True,False
0,77,5.0,"(24, 10)",taxation,6,0.5,False,True,False
0,78,5.0,"(47, 41)",taxation,6,0.5,False,True,False
0,79,5.0,"(23, 22)",taxation,6,0.5,False,True,False
0,80,5.0,"(8, 42)",taxation,6,0.5,False,True,False
0,81,5.0,"(35, 26)",taxation,6,0.5,False,True,False
0,82,5.0,"(2, 22)",taxation,6,0.5,False,True,False
0,83,5.0,"(9, 14)",taxation,6,0.5,False,True,False
0,84,5.0,"(0, 43)",taxation,6,0.5,False,True,False
0,85,5.0,"(9, 12)",taxation,6,0.5,False,True,False
0,86,5.0,"(38, 31)",taxation,6,0.5,False,True,False
0,87,5.0,"(35, 15)",taxation,6,0.5,False,True,False
0,88,5.0,"(48, 44)",taxation,6,0.5,False,True,False
0,89,5.0,"(37, 47)",taxation,6,0.5,False,True,False
0,90,5.0,"(11, 31)",taxation,6,0.5,False,True,False
0,91,5.0,"(19, 30)",taxation,6,0.5,False,True,False
0,92,5.0,"(5, 10)",taxation,6,0.5,False,True,False
0,93,5.0,"(41, 19)",taxation,6,0.5,False,True,False
0,94,5.0,"(8, 30)",taxation,6,0.5,False,True,False
0,95,5.0,"(48, 30)",taxation,6,0.5,False,True,False
0,96,5.0,"(27, 30)",taxation,6,0.5,False,True,False
0,97,5.0,"(43, 15)",taxation,6,0.5,False,True,False
0,98,5.0,"(23, 33)",taxation,6,0.5,False,True,False
0,99,5.0,"(12, 17)",taxation,6,0.5,False,True,False
0,100,5.0,"(26, 12)",taxation,6,0.5,False,True,False
0,101,5.0,"(38, 11)",taxation,6,0.5,False,True,False
0,102,5.0,"(38, 24)",taxation,6,0.5,False,True,False
0,103,5.0,"(27, 12)",taxation,6,0.5,False,True,False
0,104,5.0,"(38, 25)",taxation,6,0.5,False,True,False
0,105,5.0,"(1, 18)",taxation,6,0.5,False,True,False
0,106,5.0,"(15, 42)",taxation,6,0.5,False,True,False
0,107,5.0,"(1, 9)",taxation,6,0.5,False,True,False
0,108,5.0,"(14, 28)",taxation,6,0.5,False,True,False
0,109,5.0,"(26, 37)",taxation,6,0.5,False,True,False
0,110,5.0,"(26, 39)",taxation,6,0.5,False,True,False
0,111,5.0,"(6, 41)",taxation,6,0.5,False,True,False
0,112,5.0,"(23, 12)",taxation,6,0.5,False,True,False
0,113,5.0,"(10, 36)",taxation,6,0.5,False,True,False
0,114,5.0,"(25, 40)",taxation,6,0.5,False,True,False
0,115,5.0,"(49, 43)",taxation,6,0.5,False,True,False
0,116,5.0,"(43, 30)",taxation,6,0.5,False,True,False
0,117,5.0,"(34, 11)",taxation,6,0.5,False,True,False
0,118,5.0,"(32, 4)",taxation,6,0.5,False,True,False
0,119,5.0,"(10, 18)",taxation,6,0.5,False,True,False
0,120,5.0,"(38, 14)",taxation,6,0.5,False,True,False
0,121,5.0,"(33, 6)",taxation,6,0.5,False,True,False
0,122,5.0,"(4, 45)",taxation,6,0.5,False,True,False
0,123,5.0,"(45, 0)",taxation,6,0.5,False,True,False
0,124,5.0,"(10, 18)",taxation,6,0.5,False,True,False
0,125,5.0,"(24, 7)",taxation,6,0.5,False,True,False
0,126,5.0,"(13, 47)",taxation,6,0.5,False,True,False
0,127,5.0,"(17, 0)",taxation,6,0.5,False,True,False
0,128,5.0,"(4, 12)",taxation,6,0.5,False,True,False
0,129,5.0,"(10, 3)",taxation,6,0.5,False,True,False
0,130,5.0,"(10, 30)",taxation,6,0.5,False,True,False
0,131,5.0,"(34, 13)",taxation,6,0.5,False,True,False
0,132,5.0,"(9, 18)",taxation,6,0.5,False,True,False
0,133,5.0,"(11, 43)",taxation,6,0.5,False,True,False
0,134,5.0,"(14, 11)",taxation,6,0.5,False,True,False
0,135,5.0,"(6, 29)",taxation,6,0.5,False,True,False
0,136,5.0,"(12, 29)",taxation,6,0.5,False,True,False
0,137,5.0,"(47, 6)",taxation,6,0.5,False,True,False
0,138,5.0,"(19, 0)",taxation,6,0.5,False,True,False
0,139,5.0,"(4, 20)",taxation,6,0.5,False,True,False
0,140,5.0,"(35, 32)",taxation,6,0.5,False,True,False
0,141,5.0,"(0, 22)",taxation,6,0.5,False,True,False
0,142,5.0,"(20, 33)",taxation,6,0.5,False,True,False
0,143,5.0,"(26, 0)",taxation,6,0.5,False,True,False
0,144,5.0,"(42, 48)",taxation,6,0.5,False,True,False
0,145,5.0,"(18, 49)",taxation,6,0.5,False,True,False
0,146,5.0,"(1, 29)",taxation,6,0.5,False,True,False
0,147,5.0,"(44, 15)",taxation,6,0.5,False,True,False
0,148,5.0,"(21, 49)",taxation,6,0.5,False,True,False
0,149,5.0,"(47, 0)",taxation,6,0.5,False,True,False
0,150,5.0,"(11, 11)",taxation,6,0.5,False,True,False
0,151,5.0,"(31, 6)",taxation,6,0.5,False,True,False
0,152,5.0,"(35, 20)",taxation,6,0.5,False,True,False
0,153,5.0,"(34, 5)",taxation,6,0.5,False,True,False
0,154,5.0,"(24, 20)",taxation,6,0.5,False,True,False
0,155,5.0,"(35, 10)",taxation,6,0.5,False,True,False
0,156,5.0,"(16, 7)",taxation,6,0.5,False,True,False
0,157,5.0,"(23, 20)",taxation,6,0.5,False,True,False
0,158,5.0,"(41, 8)",taxation,6,0.5,False,True,False
0,159,5.0,"(40, 29)",taxation,6,0.5,False,True,False
0,160,5.0,"(17, 34)",taxation,6,0.5,False,True,False
0,161,5.0,"(37, 27)",taxation,6,0.5,False,True,False
0,162,5.0,"(48, 14)",taxation,6,0.5,False,True,False
0,163,5.0,"(1, 30)",taxation,6,0.5,False,True,False
0,164,5.0,"(45, 7)",taxation,6,0.5,False,True,False
0,165,5.0,"(2, 30)",taxation,6,0.5,False,True,False
0,166,5.0,"(23, 41)",taxation,6,0.5,False,True,False
0,167,5.0,"(4, 43)",taxation,6,0.5,False,True,False
0,168,5.0,"(30, 5)",taxation,6,0.5,False,True,False
0,169,5.0,"(11, 46)",taxation,6,0.5,False,True,False
0,170,5.0,"(31, 17)",taxation,6,0.5,False,True,False
0,171,5.0,"(13, 48)",taxation,6,0.5,False,True,False
0,172,5.0,"(14, 40)",taxation,6,0.5,False,True,False
0,173,5.0,"(31, 33)",taxation,6,0.5,False,True,False
0,174,5.0,"(28, 11)",taxation,6,0.5,False,True,False
0,175,5.0,"(2, 11)",taxation,6,0.5,False,True,False
0,176,5.0,"(25, 40)",taxation,6,0.5,False,True,False
0,177,5.0,"(14, 9)",taxation,6,0.5,False,True,False
0,178,5.0,"(12, 39)",taxation,6,0.5,False,True,False
0,179,5.0,"(2, 28)",taxation,6,0.5,False,True,False
0,180,5.0,"(49, 17)",taxation,6,0.5,False,True,False
0,181,5.0,"(38, 44)",taxation,6,0.5,False,True,False
0,182,5.0,"(46, 22)",taxation,6,0.5,False,True,False
