Step,AgentID,Wealth,Position,Exp name,Vision,Tax Rate,Ams map,Death,Inst regrowth
0,0,5.0,"(2, 28)",taxation,6,0.75,False,True,False
0,1,5.0,"(22, 35)",taxation,6,0.75,False,True,False
0,2,5.0,"(27, 13)",taxation,6,0.75,False,True,False
0,3,5.0,"(31, 20)",taxation,6,0.75,False,True,False
0,4,5.0,"(49, 26)",taxation,6,0.75,False,True,False
0,5,5.0,"(20, 31)",taxation,6,0.75,False,True,False
0,6,5.0,"(6, 17)",taxation,6,0.75,False,True,False
0,7,5.0,"(1, 39)",taxation,6,0.75,False,True,False
0,8,5.0,"(1, 1)",taxation,6,0.75,False,True,False
0,9,5.0,"(32, 37)",taxation,6,0.75,False,True,False
0,10,5.0,"(48, 2)",taxation,6,0.75,False,True,False
0,11,5.0,"(40, 39)",taxation,6,0.75,False,True,False
0,12,5.0,"(42, 2)",taxation,6,0.75,False,True,False
0,13,5.0,"(17, 8)",taxation,6,0.75,False,True,False
0,14,5.0,"(44, 46)",taxation,6,0.75,False,True,False
0,15,5.0,"(23, 36)",taxation,6,0.75,False,True,False
0,16,5.0,"(19, 4)",taxation,6,0.75,False,True,False
0,17,5.0,"(8, 36)",taxation,6,0.75,False,True,False
0,18,5.0,"(30, 19)",taxation,6,0.75,False,True,False
0,19,5.0,"(43, 23)",taxation,6,0.75,False,True,False
0,20,5.0,"(24, 6)",taxation,6,0.75,False,True,False
0,21,5.0,"(9, 27)",taxation,6,0.75,False,True,False
0,22,5.0,"(8, 43)",taxation,6,0.75,False,True,False
0,23,5.0,"(21, 19)",taxation,6,0.75,False,True,False
0,24,5.0,"(12, 10)",taxation,6,0.75,False,True,False
0,25,5.0,"(14, 17)",taxation,6,0.75,False,True,False
0,26,5.0,"(6, 16)",taxation,6,0.75,False,True,False
0,27,5.0,"(36, 42)",taxation,6,0.75,False,True,False
0,28,5.0,"(22, 15)",taxation,6,0.75,False,True,False
0,29,5.0,"(14, 45)",taxation,6,0.75,False,True,False
0,30,5.0,"(17, 48)",taxation,6,0.75,False,True,False
0,31,5.0,"(20, 18)",taxation,6,0.75,False,True,False
0,32,5.0,"(33, 45)",taxation,6,0.75,False,True,False
0,33,5.0,"(0, 38)",taxation,6,0.75,False,True,False
0,34,5.0,"(26, 1)",taxation,6,0.75,False,True,False
0,35,5.0,"(9, 42)",taxation,6,0.75,False,True,False
0,36,5.0,"(18, 1)",taxation,6,0.75,False,True,False
0,37,5.0,"(26, 3)",taxation,6,0.75,False,True,False
0,38,5.0,"(46, 25)",taxation,6,0.75,False,True,False
0,39,5.0,"(21, 40)",taxation,6,0.75,False,True,False
0,40,5.0,"(6, 41)",taxation,6,0.75,False,True,False
0,41,5.0,"(14, 43)",taxation,6,0.75,False,True,False
0,42,5.0,"(1, 29)",taxation,6,0.75,False,True,False
0,43,5.0,"(22, 12)",taxation,6,0.75,False,True,False
0,44,5.0,"(27, 48)",taxation,6,0.75,False,True,False
0,45,5.0,"(36, 12)",taxation,6,0.75,False,True,False
0,46,5.0,"(7, 42)",taxation,6,0.75,False,True,False
0,47,5.0,"(12, 26)",taxation,6,0.75,False,True,False
0,48,5.0,"(47, 38)",taxation,6,0.75,False,True,False
0,49,5.0,"(14, 24)",taxation,6,0.75,False,True,False
0,50,5.0,"(35, 0)",taxation,6,0.75,False,True,False
0,51,5.0,"(24, 25)",taxation,6,0.75,False,True,False
0,52,5.0,"(11, 31)",taxation,6,0.75,False,True,False
0,53,5.0,"(28, 30)",taxation,6,0.75,False,True,False
0,54,5.0,"(44, 30)",taxation,6,0.75,False,True,False
0,55,5.0,"(8, 49)",taxation,6,0.75,False,True,False
0,56,5.0,"(14, 7)",taxation,6,0.75,False,True,False
0,57,5.0,"(9, 13)",taxation,6,0.75,False,True,False
0,58,5.0,"(8, 23)",taxation,6,0.75,False,True,False
0,59,5.0,"(0, 37)",taxation,6,0.75,False,True,False
0,60,5.0,"(19, 3)",taxation,6,0.75,False,True,False
0,61,5.0,"(23, 0)",taxation,6,0.75,False,True,False
0,62,5.0,"(40, 4)",taxation,6,0.75,False,True,False
0,63,5.0,"(37, 46)",taxation,6,0.75,False,True,False
0,64,5.0,"(1, 34)",taxation,6,0.75,False,True,False
0,65,5.0,"(2, 18)",taxation,6,0.75,False,True,False
0,66,5.0,"(42, 11)",taxation,6,0.75,False,True,False
0,67,5.0,"(29, 20)",taxation,6,0.75,False,True,False
0,68,5.0,"(33, 39)",taxation,6,0.75,False,True,False
0,69,5.0,"(25, 18)",taxation,6,0.75,False,True,False
0,70,5.0,"(27, 17)",taxation,6,0.75,False,True,False
0,71,5.0,"(13, 30)",taxation,6,0.75,False,True,False
0,72,5.0,"(29, 45)",taxation,6,0.75,False,True,False
0,73,5.0,"(14, 41)",taxation,6,0.75,False,True,False
0,74,5.0,"(29, 20)",taxation,6,0.75,False,True,False
0,75,5.0,"(16, 23)",taxation,6,0.75,False,True,False
0,76,5.0,"(8, 4)",taxation,6,0.75,False,True,False
0,77,5.0,"(1, 40)",taxation,6,0.75,False,True,False
0,78,5.0,"(40, 2)",taxation,6,0.75,False,True,False
0,79,5.0,"(42, 13)",taxation,6,0.75,False,True,False
0,80,5.0,"(36, 32)",taxation,6,0.75,False,True,False
0,81,5.0,"(2, 27)",taxation,6,0.75,False,True,False
0,82,5.0,"(40, 49)",taxation,6,0.75,False,True,False
0,83,5.0,"(44, 6)",taxation,6,0.75,False,True,False
0,84,5.0,"(2, 2)",taxation,6,0.75,False,True,False
0,85,5.0,"(38, 42)",taxation,6,0.75,False,True,False
0,86,5.0,"(34, 28)",taxation,6,0.75,False,True,False
0,87,5.0,"(14, 48)",taxation,6,0.75,False,True,False
0,88,5.0,"(5, 33)",taxation,6,0.75,False,True,False
0,89,5.0,"(39, 22)",taxation,6,0.75,False,True,False
0,90,5.0,"(38, 21)",taxation,6,0.75,False,True,False
0,91,5.0,"(9, 42)",taxation,6,0.75,False,True,False
0,92,5.0,"(15, 44)",taxation,6,0.75,False,True,False
0,93,5.0,"(13, 22)",taxation,6,0.75,False,True,False
0,94,5.0,"(25, 18)",taxation,6,0.75,False,True,False
0,95,5.0,"(14, 0)",taxation,6,0.75,False,True,False
0,96,5.0,"(10, 35)",taxation,6,0.75,False,True,False
0,97,5.0,"(47, 4)",taxation,6,0.75,False,True,False
0,98,5.0,"(22, 47)",taxation,6,0.75,False,True,False
0,99,5.0,"(48, 35)",taxation,6,0.75,False,True,False
0,100,5.0,"(3, 19)",taxation,6,0.75,False,True,False
0,101,5.0,"(46, 17)",taxation,6,0.75,False,True,False
0,102,5.0,"(23, 24)",taxation,6,0.75,False,True,False
0,103,5.0,"(7, 2)",taxation,6,0.75,False,True,False
0,104,5.0,"(27, 35)",taxation,6,0.75,False,True,False
0,105,5.0,"(33, 7)",taxation,6,0.75,False,True,False
0,106,5.0,"(6, 18)",taxation,6,0.75,False,True,False
0,107,5.0,"(40, 47)",taxation,6,0.75,False,True,False
0,108,5.0,"(38, 7)",taxation,6,0.75,False,True,False
0,109,5.0,"(1, 32)",taxation,6,0.75,False,True,False
0,110,5.0,"(12, 45)",taxation,6,0.75,False,True,False
0,111,5.0,"(31, 1)",taxation,6,0.75,False,True,False
0,112,5.0,"(16, 0)",taxation,6,0.75,False,True,False
0,113,5.0,"(42, 39)",taxation,6,0.75,False,True,False
0,114,5.0,"(36, 18)",taxation,6,0.75,False,True,False
0,115,5.0,"(11, 30)",taxation,6,0.75,False,True,False
0,116,5.0,"(10, 10)",taxation,6,0.75,False,True,False
0,117,5.0,"(42, 27)",taxation,6,0.75,False,True,False
0,118,5.0,"(46, 27)",taxation,6,0.75,False,True,False
0,119,5.0,"(12, 14)",taxation,6,0.75,False,True,False
0,120,5.0,"(47, 39)",taxation,6,0.75,False,True,False
0,121,5.0,"(11, 25)",taxation,6,0.75,False,True,False
0,122,5.0,"(3, 48)",taxation,6,0.75,False,True,False
0,123,5.0,"(41, 4)",taxation,6,0.75,False,True,False
0,124,5.0,"(18, 6)",taxation,6,0.75,False,True,False
0,125,5.0,"(13, 30)",taxation,6,0.75,False,True,False
0,126,5.0,"(14, 19)",taxation,6,0.75,False,True,False
0,127,5.0,"(27, 15)",taxation,6,0.75,False,True,False
0,128,5.0,"(39, 12)",taxation,6,0.75,False,True,False
0,129,5.0,"(28, 1)",taxation,6,0.75,False,True,False
0,130,5.0,"(29, 44)",taxation,6,0.75,False,True,False
0,131,5.0,"(2, 12)",taxation,6,0.75,False,True,False
0,132,5.0,"(8, 9)",taxation,6,0.75,False,True,False
0,133,5.0,"(22, 17)",taxation,6,0.75,False,True,False
0,134,5.0,"(48, 38)",taxation,6,0.75,False,True,False
0,135,5.0,"(29, 47)",taxation,6,0.75,False,True,False
0,136,5.0,"(37, 21)",taxation,6,0.75,False,True,False
0,137,5.0,"(28, 22)",taxation,6,0.75,False,True,False
0,138,5.0,"(10, 16)",taxation,6,0.75,False,True,False
0,139,5.0,"(0, 0)",taxation,6,0.75,False,True,False
0,140,5.0,"(48, 41)",taxation,6,0.75,False,True,False
0,141,5.0,"(42, 37)",taxation,6,0.75,False,True,False
0,142,5.0,"(49, 13)",taxation,6,0.75,False,True,False
0,143,5.0,"(48, 38)",taxation,6,0.75,False,True,False
0,144,5.0,"(25, 14)",taxation,6,0.75,False,True,False
0,145,5.0,"(30, 11)",taxation,6,0.75,False,True,False
0,146,5.0,"(39, 43)",taxation,6,0.75,False,True,False
0,147,5.0,"(33, 27)",taxation,6,0.75,False,True,False
0,148,5.0,"(21, 49)",taxation,6,0.75,False,True,False
0,149,5.0,"(14, 29)",taxation,6,0.75,False,True,False
0,150,5.0,"(14, 17)",taxation,6,0.75,False,True,False
0,151,5.0,"(32, 45)",taxation,6,0.75,False,True,False
0,152,5.0,"(3, 42)",taxation,6,0.75,False,True,False
0,153,5.0,"(7, 1)",taxation,6,0.75,False,True,False
0,154,5.0,"(18, 47)",taxation,6,0.75,False,True,False
0,155,5.0,"(29, 28)",taxation,6,0.75,False,True,False
0,156,5.0,"(33, 3)",taxation,6,0.75,False,True,False
0,157,5.0,"(12, 35)",taxation,6,0.75,False,True,False
0,158,5.0,"(19, 6)",taxation,6,0.75,False,True,False
0,159,5.0,"(25, 17)",taxation,6,0.75,False,True,False
0,160,5.0,"(39, 30)",taxation,6,0.75,False,True,False
0,161,5.0,"(9, 41)",taxation,6,0.75,False,True,False
0,162,5.0,"(1, 26)",taxation,6,0.75,False,True,False
0,163,5.0,"(11, 36)",taxation,6,0.75,False,True,False
0,164,5.0,"(23, 27)",taxation,6,0.75,False,True,False
0,165,5.0,"(47, 23)",taxation,6,0.75,False,True,False
0,166,5.0,"(26, 9)",taxation,6,0.75,False,True,False
0,167,5.0,"(29, 35)",taxation,6,0.75,False,True,False
0,168,5.0,"(38, 24)",taxation,6,0.75,False,True,False
0,169,5.0,"(34, 35)",taxation,6,0.75,False,True,False
0,170,5.0,"(47, 33)",taxation,6,0.75,False,True,False
0,171,5.0,"(27, 47)",taxation,6,0.75,False,True,False
0,172,5.0,"(11, 40)",taxation,6,0.75,False,True,False
0,173,5.0,"(24, 24)",taxation,6,0.75,False,True,False
0,174,5.0,"(33, 4)",taxation,6,0.75,False,True,False
0,175,5.0,"(43, 30)",taxation,6,0.75,False,True,False
0,176,5.0,"(22, 46)",taxation,6,0.75,False,True,False
0,177,5.0,"(13, 46)",taxation,6,0.75,False,True,False
0,178,5.0,"(29, 23)",taxation,6,0.75,False,True,False
0,179,5.0,"(7, 9)",taxation,6,0.75,False,True,False
0,180,5.0,"(1, 20)",taxation,6,0.75,False,True,False
0,181,5.0,"(46, 1)",taxation,6,0.75,False,True,False
0,182,5.0,"(40, 25)",taxation,6,0.75,False,True,False
0,183,5.0,"(23, 26)",taxation,6,0.75,False,True,False
0,184,5.0,"(38, 30)",taxation,6,0.75,False,True,False
0,185,5.0,"(28, 9)",taxation,6,0.75,False,True,False
0,186,5.0,"(34, 9)",taxation,6,0.75,False,True,False
0,187,5.0,"(43, 22)",taxation,6,0.75,False,True,False
0,188,5.0,"(2, 48)",taxation,6,0.75,False,True,False
0,189,5.0,"(29, 21)",taxation,6,0.75,False,True,False
0,190,5.0,"(22, 45)",taxation,6,0.75,False,True,False
0,191,5.0,"(10, 6)",taxation,6,0.75,False,True,False
0,192,5.0,"(36, 10)",taxation,6,0.75,False,True,False
0,193,5.0,"(18, 13)",taxation,6,0.75,False,True,False
0,194,5.0,"(30, 5)",taxation,6,0.75,False,True,False
0,195,5.0,"(10, 35)",taxation,6,0.75,False,True,False
0,196,5.0,"(42, 17)",taxation,6,0.75,False,True,False
0,197,5.0,"(9, 45)",taxation,6,0.75,False,True,False
0,198,5.0,"(37, 1)",taxation,6,0.75,False,True,False
0,199,5.0,"(41, 11)",taxation,6,0.75,False,True,False
0,200,5.0,"(29, 45)",taxation,6,0.75,False,True,False
0,201,5.0,"(7, 30)",taxation,6,0.75,False,True,False
0,202,5.0,"(35, 15)",taxation,6,0.75,False,True,False
0,203,5.0,"(26, 45)",taxation,6,0.75,False,True,False
0,204,5.0,"(20, 16)",taxation,6,0.75,False,True,False
0,205,5.0,"(43, 48)",taxation,6,0.75,False,True,False
0,206,5.0,"(28, 37)",taxation,6,0.75,False,True,False
0,207,5.0,"(13, 38)",taxation,6,0.75,False,True,False
0,208,5.0,"(11, 48)",taxation,6,0.75,False,True,False
0,209,5.0,"(28, 47)",taxation,6,0.75,False,True,False
0,210,5.0,"(1, 21)",taxation,6,0.75,False,True,False
0,211,5.0,"(23, 33)",taxation,6,0.75,False,True,False
0,212,5.0,"(49, 24)",taxation,6,0.75,False,True,False
0,213,5.0,"(43, 7)",taxation,6,0.75,False,True,False
0,214,5.0,"(17, 12)",taxation,6,0.75,False,True,False
0,215,5.0,"(10, 36)",taxation,6,0.75,False,True,False
0,216,5.0,"(19, 3)",taxation,6,0.75,False,True,False
0,217,5.0,"(3, 13)",taxation,6,0.75,False,True,False
0,218,5.0,"(6, 34)",taxation,6,0.75,False,True,False
0,219,5.0,"(3, 39)",taxation,6,0.75,False,True,False
0,220,5.0,"(38, 31)",taxation,6,0.75,False,True,False
0,221,5.0,"(0, 22)",taxation,6,0.75,False,True,False
0,222,5.0,"(45, 18)",taxation,6,0.75,False,True,False
0,223,5.0,"(12, 14)",taxation,6,0.75,False,True,False
0,224,5.0,"(46, 35)",taxation,6,0.75,False,True,False
0,225,5.0,"(10, 20)",taxation,6,0.75,False,True,False
0,226,5.0,"(48, 41)",taxation,6,0.75,False,True,False
0,227,5.0,"(38, 1)",taxation,6,0.75,False,True,False
0,228,5.0,"(47, 13)",taxation,6,0.75,False,True,False
0,229,5.0,"(46, 48)",taxation,6,0.75,False,True,False
0,230,5.0,"(4, 45)",taxation,6,0.75,False,True,False
0,231,5.0,"(22, 34)",taxation,6,0.75,False,True,False
0,232,5.0,"(49, 35)",taxation,6,0.75,False,True,False
0,233,5.0,"(23, 45)",taxation,6,0.75,False,True,False
0,234,5.0,"(16, 13)",taxation,6,0.75,False,True,False
0,235,5.0,"(43, 27)",taxation,6,0.75,False,True,False
0,236,5.0,"(42, 15)",taxation,6,0.75,False,True,False
0,237,5.0,"(45, 35)",taxation,6,0.75,False,True,False
0,238,5.0,"(17, 44)",taxation,6,0.75,False,True,False
0,239,5.0,"(8, 48)",taxation,6,0.75,False,True,False
0,240,5.0,"(32, 22)",taxation,6,0.75,False,True,False
0,241,5.0,"(1, 26)",taxation,6,0.75,False,True,False
0,242,5.0,"(18, 45)",taxation,6,0.75,False,True,False
0,243,5.0,"(18, 29)",taxation,6,0.75,False,True,False
0,244,5.0,"(18, 6)",taxation,6,0.75,False,True,False
0,245,5.0,"(4, 4)",taxation,6,0.75,False,True,False
0,246,5.0,"(11, 16)",taxation,6,0.75,False,True,False
0,247,5.0,"(26, 19)",taxation,6,0.75,False,True,False
0,248,5.0,"(37, 43)",taxation,6,0.75,False,True,False
0,249,5.0,"(35, 1)",taxation,6,0.75,False,True,False
1,0,12862.000000000002,"(4, 31)",taxation,6,0.75,False,True,False
1,1,17148.0,"(16, 38)",taxation,6,0.75,False,True,False
1,2,17148.0,"(30, 13)",taxation,6,0.75,False,True,False
1,3,17148.0,"(31, 18)",taxation,6,0.75,False,True,False
1,4,12862.000000000002,"(43, 21)",taxation,6,0.75,False,True,False
1,5,17148.0,"(15, 35)",taxation,6,0.75,False,True,False
1,6,8576.0,"(10, 22)",taxation,6,0.75,False,True,False
1,7,17148.0,"(6, 39)",taxation,6,0.75,False,True,False
1,8,4.0,"(0, 1)",taxation,6,0.75,False,True,False
1,9,8576.0,"(30, 35)",taxation,6,0.75,False,True,False
1,10,12862.000000000002,"(42, 7)",taxation,6,0.75,False,True,False
1,11,4290.0,"(39, 37)",taxation,6,0.75,False,True,False
1,12,12862.000000000002,"(40, 6)",taxation,6,0.75,False,True,False
1,13,8576.0,"(19, 10)",taxation,6,0.75,False,True,False
