Step,AgentID,Wealth,Position,Exp name,Vision,Tax Rate,Ams map,Death,Inst regrowth
0,0,5.0,"(28, 27)",taxation,6,0.5,True,True,False
0,1,5.0,"(7, 11)",taxation,6,0.5,True,True,False
0,2,5.0,"(12, 42)",taxation,6,0.5,True,True,False
0,3,5.0,"(3, 46)",taxation,6,0.5,True,True,False
0,4,5.0,"(38, 12)",taxation,6,0.5,True,True,False
0,5,5.0,"(33, 20)",taxation,6,0.5,True,True,False
0,6,5.0,"(12, 19)",taxation,6,0.5,True,True,False
0,7,5.0,"(46, 3)",taxation,6,0.5,True,True,False
0,8,5.0,"(36, 33)",taxation,6,0.5,True,True,False
0,9,5.0,"(28, 30)",taxation,6,0.5,True,True,False
0,10,5.0,"(31, 39)",taxation,6,0.5,True,True,False
0,11,5.0,"(24, 39)",taxation,6,0.5,True,True,False
0,12,5.0,"(35, 19)",taxation,6,0.5,True,True,False
0,13,5.0,"(38, 46)",taxation,6,0.5,True,True,False
0,14,5.0,"(15, 19)",taxation,6,0.5,True,True,False
0,15,5.0,"(42, 36)",taxation,6,0.5,True,True,False
0,16,5.0,"(8, 8)",taxation,6,0.5,True,True,False
0,17,5.0,"(47, 22)",taxation,6,0.5,True,True,False
0,18,5.0,"(13, 31)",taxation,6,0.5,True,True,False
0,19,5.0,"(36, 49)",taxation,6,0.5,True,True,False
0,20,5.0,"(31, 43)",taxation,6,0.5,True,True,False
0,21,5.0,"(7, 9)",taxation,6,0.5,True,True,False
0,22,5.0,"(43, 30)",taxation,6,0.5,True,True,False
0,23,5.0,"(18, 14)",taxation,6,0.5,True,True,False
0,24,5.0,"(36, 6)",taxation,6,0.5,True,True,False
0,25,5.0,"(17, 28)",taxation,6,0.5,True,True,False
0,26,5.0,"(5, 15)",taxation,6,0.5,True,True,False
0,27,5.0,"(32, 36)",taxation,6,0.5,True,True,False
0,28,5.0,"(1, 39)",taxation,6,0.5,True,True,False
0,29,5.0,"(18, 35)",taxation,6,0.5,True,True,False
0,30,5.0,"(36, 12)",taxation,6,0.5,True,True,False
0,31,5.0,"(20, 14)",taxation,6,0.5,True,True,False
0,32,5.0,"(4, 36)",taxation,6,0.5,True,True,False
0,33,5.0,"(10, 47)",taxation,6,0.5,True,True,False
0,34,5.0,"(29, 48)",taxation,6,0.5,True,True,False
0,35,5.0,"(38, 1)",taxation,6,0.5,True,True,False
0,36,5.0,"(19, 23)",taxation,6,0.5,True,True,False
0,37,5.0,"(48, 39)",taxation,6,0.5,True,True,False
0,38,5.0,"(49, 25)",taxation,6,0.5,True,True,False
0,39,5.0,"(31, 17)",taxation,6,0.5,True,True,False
0,40,5.0,"(36, 29)",taxation,6,0.5,True,True,False
0,41,5.0,"(17, 48)",taxation,6,0.5,True,True,False
0,42,5.0,"(16, 6)",taxation,6,0.5,True,True,False
0,43,5.0,"(14, 30)",taxation,6,0.5,True,True,False
0,44,5.0,"(9, 12)",taxation,6,0.5,True,True,False
0,45,5.0,"(8, 8)",taxation,6,0.5,True,True,False
0,46,5.0,"(37, 10)",taxation,6,0.5,True,True,False
0,47,5.0,"(14, 23)",taxation,6,0.5,True,True,False
0,48,5.0,"(11, 15)",taxation,6,0.5,True,True,False
0,49,5.0,"(40, 24)",taxation,6,0.5,True,True,False
0,50,5.0,"(14, 38)",taxation,6,0.5,True,True,False
0,51,5.0,"(15, 20)",taxation,6,0.5,True,True,False
0,52,5.0,"(49, 44)",taxation,6,0.5,True,True,False
0,53,5.0,"(41, 3)",taxation,6,0.5,True,True,False
0,54,5.0,"(25, 11)",taxation,6,0.5,True,True,False
0,55,5.0,"(39, 18)",taxation,6,0.5,True,True,False
0,56,5.0,"(39, 7)",taxation,6,0.5,True,True,False
0,57,5.0,"(2, 11)",taxation,6,0.5,True,True,False
0,58,5.0,"(15, 0)",taxation,6,0.5,True,True,False
0,59,5.0,"(17, 20)",taxation,6,0.5,True,True,False
0,60,5.0,"(25, 22)",taxation,6,0.5,True,True,False
0,61,5.0,"(29, 28)",taxation,6,0.5,True,True,False
0,62,5.0,"(32, 19)",taxation,6,0.5,True,True,False
0,63,5.0,"(34, 10)",taxation,6,0.5,True,True,False
0,64,5.0,"(37, 1)",taxation,6,0.5,True,True,False
0,65,5.0,"(7, 1)",taxation,6,0.5,True,True,False
0,66,5.0,"(26, 23)",taxation,6,0.5,True,True,False
0,67,5.0,"(25, 4)",taxation,6,0.5,True,True,False
0,68,5.0,"(45, 9)",taxation,6,0.5,True,True,False
0,69,5.0,"(33, 13)",taxation,6,0.5,True,True,False
0,70,5.0,"(6, 31)",taxation,6,0.5,True,True,False
0,71,5.0,"(25, 16)",taxation,6,0.5,True,True,False
0,72,5.0,"(34, 36)",taxation,6,0.5,True,True,False
0,73,5.0,"(10, 49)",taxation,6,0.5,True,True,False
0,74,5.0,"(11, 22)",taxation,6,0.5,True,True,False
0,75,5.0,"(46, 36)",taxation,6,0.5,True,True,False
0,76,5.0,"(3, 24)",taxation,6,0.5,True,True,False
0,77,5.0,"(5, 5)",taxation,6,0.5,True,True,False
0,78,5.0,"(18, 39)",taxation,6,0.5,True,True,False
0,79,5.0,"(9, 11)",taxation,6,0.5,True,True,False
0,80,5.0,"(25, 16)",taxation,6,0.5,True,True,False
0,81,5.0,"(2, 1)",taxation,6,0.5,True,True,False
0,82,5.0,"(5, 39)",taxation,6,0.5,True,True,False
0,83,5.0,"(43, 26)",taxation,6,0.5,True,True,False
0,84,5.0,"(47, 13)",taxation,6,0.5,True,True,False
0,85,5.0,"(49, 1)",taxation,6,0.5,True,True,False
0,86,5.0,"(46, 16)",taxation,6,0.5,True,True,False
0,87,5.0,"(25, 19)",taxation,6,0.5,True,True,False
0,88,5.0,"(16, 45)",taxation,6,0.5,True,True,False
0,89,5.0,"(49, 16)",taxation,6,0.5,True,True,False
0,90,5.0,"(2, 35)",taxation,6,0.5,True,True,False
0,91,5.0,"(21, 21)",taxation,6,0.5,True,True,False
0,92,5.0,"(44, 33)",taxation,6,0.5,True,True,False
0,93,5.0,"(47, 49)",taxation,6,0.5,True,True,False
0,94,5.0,"(28, 40)",taxation,6,0.5,True,True,False
0,95,5.0,"(29, 33)",taxation,6,0.5,True,True,False
0,96,5.0,"(38, 39)",taxation,6,0.5,True,True,False
0,97,5.0,"(17, 21)",taxation,6,0.5,True,True,False
0,98,5.0,"(46, 34)",taxation,6,0.5,True,True,False
0,99,5.0,"(21, 40)",taxation,6,0.5,True,True,False
0,100,5.0,"(9, 41)",taxation,6,0.5,True,True,False
0,101,5.0,"(34, 35)",taxation,6,0.5,True,True,False
0,102,5.0,"(18, 6)",taxation,6,0.5,True,True,False
0,103,5.0,"(48, 40)",taxation,6,0.5,True,True,False
0,104,5.0,"(39, 26)",taxation,6,0.5,True,True,False
0,105,5.0,"(17, 28)",taxation,6,0.5,True,True,False
0,106,5.0,"(33, 11)",taxation,6,0.5,True,True,False
0,107,5.0,"(38, 41)",taxation,6,0.5,True,True,False
0,108,5.0,"(46, 3)",taxation,6,0.5,True,True,False
0,109,5.0,"(28, 12)",taxation,6,0.5,True,True,False
0,110,5.0,"(36, 32)",taxation,6,0.5,True,True,False
0,111,5.0,"(35, 46)",taxation,6,0.5,True,True,False
0,112,5.0,"(44, 27)",taxation,6,0.5,True,True,False
0,113,5.0,"(16, 35)",taxation,6,0.5,True,True,False
0,114,5.0,"(42, 38)",taxation,6,0.5,True,True,False
0,115,5.0,"(39, 39)",taxation,6,0.5,True,True,False
0,116,5.0,"(48, 22)",taxation,6,0.5,True,True,False
0,117,5.0,"(31, 35)",taxation,6,0.5,True,True,False
0,118,5.0,"(14, 37)",taxation,6,0.5,True,True,False
0,119,5.0,"(48, 1)",taxation,6,0.5,True,True,False
0,120,5.0,"(25, 13)",taxation,6,0.5,True,True,False
0,121,5.0,"(34, 48)",taxation,6,0.5,True,True,False
0,122,5.0,"(1, 43)",taxation,6,0.5,True,True,False
0,123,5.0,"(48, 0)",taxation,6,0.5,True,True,False
0,124,5.0,"(6, 9)",taxation,6,0.5,True,True,False
0,125,5.0,"(4, 26)",taxation,6,0.5,True,True,False
0,126,5.0,"(45, 13)",taxation,6,0.5,True,True,False
0,127,5.0,"(35, 43)",taxation,6,0.5,True,True,False
0,128,5.0,"(0, 44)",taxation,6,0.5,True,True,False
0,129,5.0,"(43, 25)",taxation,6,0.5,True,True,False
0,130,5.0,"(39, 3)",taxation,6,0.5,True,True,False
0,131,5.0,"(11, 28)",taxation,6,0.5,True,True,False
0,132,5.0,"(14, 1)",taxation,6,0.5,True,True,False
0,133,5.0,"(33, 8)",taxation,6,0.5,True,True,False
0,134,5.0,"(48, 14)",taxation,6,0.5,True,True,False
0,135,5.0,"(9, 8)",taxation,6,0.5,True,True,False
0,136,5.0,"(10, 20)",taxation,6,0.5,True,True,False
0,137,5.0,"(0, 21)",taxation,6,0.5,True,True,False
0,138,5.0,"(12, 32)",taxation,6,0.5,True,True,False
0,139,5.0,"(46, 14)",taxation,6,0.5,True,True,False
0,140,5.0,"(27, 8)",taxation,6,0.5,True,True,False
0,141,5.0,"(45, 13)",taxation,6,0.5,True,True,False
0,142,5.0,"(10, 24)",taxation,6,0.5,True,True,False
0,143,5.0,"(27, 19)",taxation,6,0.5,True,True,False
0,144,5.0,"(0, 26)",taxation,6,0.5,True,True,False
0,145,5.0,"(0, 12)",taxation,6,0.5,True,True,False
0,146,5.0,"(29, 35)",taxation,6,0.5,True,True,False
0,147,5.0,"(6, 49)",taxation,6,0.5,True,True,False
0,148,5.0,"(43, 25)",taxation,6,0.5,True,True,False
0,149,5.0,"(33, 40)",taxation,6,0.5,True,True,False
0,150,5.0,"(34, 32)",taxation,6,0.5,True,True,False
0,151,5.0,"(42, 34)",taxation,6,0.5,True,True,False
0,152,5.0,"(4, 4)",taxation,6,0.5,True,True,False
0,153,5.0,"(16, 2)",taxation,6,0.5,True,True,False
0,154,5.0,"(17, 13)",taxation,6,0.5,True,True,False
0,155,5.0,"(34, 40)",taxation,6,0.5,True,True,False
0,156,5.0,"(36, 18)",taxation,6,0.5,True,True,False
0,157,5.0,"(11, 24)",taxation,6,0.5,True,True,False
0,158,5.0,"(38, 29)",taxation,6,0.5,True,True,False
0,159,5.0,"(6, 32)",taxation,6,0.5,True,True,False
0,160,5.0,"(49, 27)",taxation,6,0.5,True,True,False
0,161,5.0,"(18, 48)",taxation,6,0.5,True,True,False
