Step,AgentID,Wealth,Position,Exp name,Vision,Tax Rate,Ams map,Death,Inst regrowth
0,0,5.0,"(35, 17)",taxation,6,0.75,False,True,False
0,1,5.0,"(29, 22)",taxation,6,0.75,False,True,False
0,2,5.0,"(31, 38)",taxation,6,0.75,False,True,False
0,3,5.0,"(30, 40)",taxation,6,0.75,False,True,False
0,4,5.0,"(18, 42)",taxation,6,0.75,False,True,False
0,5,5.0,"(39, 10)",taxation,6,0.75,False,True,False
0,6,5.0,"(20, 45)",taxation,6,0.75,False,True,False
0,7,5.0,"(31, 25)",taxation,6,0.75,False,True,False
0,8,5.0,"(2, 33)",taxation,6,0.75,False,True,False
0,9,5.0,"(32, 38)",taxation,6,0.75,False,True,False
0,10,5.0,"(2, 36)",taxation,6,0.75,False,True,False
0,11,5.0,"(29, 26)",taxation,6,0.75,False,True,False
0,12,5.0,"(45, 22)",taxation,6,0.75,False,True,False
0,13,5.0,"(48, 38)",taxation,6,0.75,False,True,False
0,14,5.0,"(15, 4)",taxation,6,0.75,False,True,False
0,15,5.0,"(15, 33)",taxation,6,0.75,False,True,False
0,16,5.0,"(28, 32)",taxation,6,0.75,False,True,False
0,17,5.0,"(41, 5)",taxation,6,0.75,False,True,False
0,18,5.0,"(32, 15)",taxation,6,0.75,False,True,False
0,19,5.0,"(40, 5)",taxation,6,0.75,False,True,False
0,20,5.0,"(13, 19)",taxation,6,0.75,False,True,False
0,21,5.0,"(36, 47)",taxation,6,0.75,False,True,False
0,22,5.0,"(12, 14)",taxation,6,0.75,False,True,False
0,23,5.0,"(44, 14)",taxation,6,0.75,False,True,False
0,24,5.0,"(37, 24)",taxation,6,0.75,False,True,False
0,25,5.0,"(41, 12)",taxation,6,0.75,False,True,False
0,26,5.0,"(39, 37)",taxation,6,0.75,False,True,False
0,27,5.0,"(7, 21)",taxation,6,0.75,False,True,False
0,28,5.0,"(28, 21)",taxation,6,0.75,False,True,False
0,29,5.0,"(43, 47)",taxation,6,0.75,False,True,False
0,30,5.0,"(8, 2)",taxation,6,0.75,False,True,False
0,31,5.0,"(16, 20)",taxation,6,0.75,False,True,False
0,32,5.0,"(28, 26)",taxation,6,0.75,False,True,False
0,33,5.0,"(35, 28)",taxation,6,0.75,False,True,False
0,34,5.0,"(14, 47)",taxation,6,0.75,False,True,False
0,35,5.0,"(19, 46)",taxation,6,0.75,False,True,False
0,36,5.0,"(5, 22)",taxation,6,0.75,False,True,False
0,37,5.0,"(23, 29)",taxation,6,0.75,False,True,False
0,38,5.0,"(12, 16)",taxation,6,0.75,False,True,False
0,39,5.0,"(36, 15)",taxation,6,0.75,False,True,False
0,40,5.0,"(6, 15)",taxation,6,0.75,False,True,False
0,41,5.0,"(2, 35)",taxation,6,0.75,False,True,False
0,42,5.0,"(23, 47)",taxation,6,0.75,False,True,False
0,43,5.0,"(16, 46)",taxation,6,0.75,False,True,False
0,44,5.0,"(7, 4)",taxation,6,0.75,False,True,False
0,45,5.0,"(40, 40)",taxation,6,0.75,False,True,False
0,46,5.0,"(13, 20)",taxation,6,0.75,False,True,False
0,47,5.0,"(26, 12)",taxation,6,0.75,False,True,False
0,48,5.0,"(46, 32)",taxation,6,0.75,False,True,False
0,49,5.0,"(18, 2)",taxation,6,0.75,False,True,False
0,50,5.0,"(15, 37)",taxation,6,0.75,False,True,False
0,51,5.0,"(36, 32)",taxation,6,0.75,False,True,False
0,52,5.0,"(32, 11)",taxation,6,0.75,False,True,False
0,53,5.0,"(34, 36)",taxation,6,0.75,False,True,False
0,54,5.0,"(10, 15)",taxation,6,0.75,False,True,False
0,55,5.0,"(42, 40)",taxation,6,0.75,False,True,False
0,56,5.0,"(27, 36)",taxation,6,0.75,False,True,False
0,57,5.0,"(16, 22)",taxation,6,0.75,False,True,False
0,58,5.0,"(32, 25)",taxation,6,0.75,False,True,False
0,59,5.0,"(45, 28)",taxation,6,0.75,False,True,False
0,60,5.0,"(37, 44)",taxation,6,0.75,False,True,False
0,61,5.0,"(9, 38)",taxation,6,0.75,False,True,False
0,62,5.0,"(0, 20)",taxation,6,0.75,False,True,False
0,63,5.0,"(19, 7)",taxation,6,0.75,False,True,False
0,64,5.0,"(34, 23)",taxation,6,0.75,False,True,False
0,65,5.0,"(16, 12)",taxation,6,0.75,False,True,False
0,66,5.0,"(30, 6)",taxation,6,0.75,False,True,False
0,67,5.0,"(34, 29)",taxation,6,0.75,False,True,False
0,68,5.0,"(37, 49)",taxation,6,0.75,False,True,False
0,69,5.0,"(46, 0)",taxation,6,0.75,False,True,False
0,70,5.0,"(12, 33)",taxation,6,0.75,False,True,False
0,71,5.0,"(40, 27)",taxation,6,0.75,False,True,False
0,72,5.0,"(28, 25)",taxation,6,0.75,False,True,False
0,73,5.0,"(46, 30)",taxation,6,0.75,False,True,False
0,74,5.0,"(44, 44)",taxation,6,0.75,False,True,False
0,75,5.0,"(45, 25)",taxation,6,0.75,False,True,False
0,76,5.0,"(9, 47)",taxation,6,0.75,False,True,False
0,77,5.0,"(30, 29)",taxation,6,0.75,False,True,False
0,78,5.0,"(22, 41)",taxation,6,0.75,False,True,False
0,79,5.0,"(42, 26)",taxation,6,0.75,False,True,False
0,80,5.0,"(0, 35)",taxation,6,0.75,False,True,False
0,81,5.0,"(47, 11)",taxation,6,0.75,False,True,False
0,82,5.0,"(29, 20)",taxation,6,0.75,False,True,False
0,83,5.0,"(8, 11)",taxation,6,0.75,False,True,False
0,84,5.0,"(25, 9)",taxation,6,0.75,False,True,False
0,85,5.0,"(0, 17)",taxation,6,0.75,False,True,False
0,86,5.0,"(3, 12)",taxation,6,0.75,False,True,False
0,87,5.0,"(39, 21)",taxation,6,0.75,False,True,False
0,88,5.0,"(39, 5)",taxation,6,0.75,False,True,False
0,89,5.0,"(48, 33)",taxation,6,0.75,False,True,False
0,90,5.0,"(44, 25)",taxation,6,0.75,False,True,False
0,91,5.0,"(41, 39)",taxation,6,0.75,False,True,False
0,92,5.0,"(36, 34)",taxation,6,0.75,False,True,False
0,93,5.0,"(14, 23)",taxation,6,0.75,False,True,False
0,94,5.0,"(37, 18)",taxation,6,0.75,False,True,False
0,95,5.0,"(27, 49)",taxation,6,0.75,False,True,False
0,96,5.0,"(10, 5)",taxation,6,0.75,False,True,False
0,97,5.0,"(46, 22)",taxation,6,0.75,False,True,False
0,98,5.0,"(27, 42)",taxation,6,0.75,False,True,False
0,99,5.0,"(24, 4)",taxation,6,0.75,False,True,False
0,100,5.0,"(49, 18)",taxation,6,0.75,False,True,False
0,101,5.0,"(27, 10)",taxation,6,0.75,False,True,False
0,102,5.0,"(32, 47)",taxation,6,0.75,False,True,False
0,103,5.0,"(37, 47)",taxation,6,0.75,False,True,False
0,104,5.0,"(23, 39)",taxation,6,0.75,False,True,False
0,105,5.0,"(36, 7)",taxation,6,0.75,False,True,False
0,106,5.0,"(20, 8)",taxation,6,0.75,False,True,False
0,107,5.0,"(24, 42)",taxation,6,0.75,False,True,False
0,108,5.0,"(32, 23)",taxation,6,0.75,False,True,False
0,109,5.0,"(29, 47)",taxation,6,0.75,False,True,False
0,110,5.0,"(22, 32)",taxation,6,0.75,False,True,False
0,111,5.0,"(30, 36)",taxation,6,0.75,False,True,False
0,112,5.0,"(49, 15)",taxation,6,0.75,False,True,False
0,113,5.0,"(24, 9)",taxation,6,0.75,False,True,False
0,114,5.0,"(8, 8)",taxation,6,0.75,False,True,False
0,115,5.0,"(49, 47)",taxation,6,0.75,False,True,False
0,116,5.0,"(26, 6)",taxation,6,0.75,False,True,False
0,117,5.0,"(46, 32)",taxation,6,0.75,False,True,False
0,118,5.0,"(44, 10)",taxation,6,0.75,False,True,False
0,119,5.0,"(16, 1)",taxation,6,0.75,False,True,False
0,120,5.0,"(2, 29)",taxation,6,0.75,False,True,False
0,121,5.0,"(46, 17)",taxation,6,0.75,False,True,False
0,122,5.0,"(6, 11)",taxation,6,0.75,False,True,False
0,123,5.0,"(9, 6)",taxation,6,0.75,False,True,False
0,124,5.0,"(29, 37)",taxation,6,0.75,False,True,False
0,125,5.0,"(7, 23)",taxation,6,0.75,False,True,False
0,126,5.0,"(30, 10)",taxation,6,0.75,False,True,False
0,127,5.0,"(11, 3)",taxation,6,0.75,False,True,False
0,128,5.0,"(34, 41)",taxation,6,0.75,False,True,False
0,129,5.0,"(34, 18)",taxation,6,0.75,False,True,False
0,130,5.0,"(48, 9)",taxation,6,0.75,False,True,False
0,131,5.0,"(4, 26)",taxation,6,0.75,False,True,False
0,132,5.0,"(33, 20)",taxation,6,0.75,False,True,False
0,133,5.0,"(12, 4)",taxation,6,0.75,False,True,False
0,134,5.0,"(13, 28)",taxation,6,0.75,False,True,False
0,135,5.0,"(42, 20)",taxation,6,0.75,False,True,False
0,136,5.0,"(34, 36)",taxation,6,0.75,False,True,False
0,137,5.0,"(29, 27)",taxation,6,0.75,False,True,False
0,138,5.0,"(39, 18)",taxation,6,0.75,False,True,False
0,139,5.0,"(31, 1)",taxation,6,0.75,False,True,False
0,140,5.0,"(14, 11)",taxation,6,0.75,False,True,False
0,141,5.0,"(6, 45)",taxation,6,0.75,False,True,False
0,142,5.0,"(21, 20)",taxation,6,0.75,False,True,False
0,143,5.0,"(19, 6)",taxation,6,0.75,False,True,False
0,144,5.0,"(42, 10)",taxation,6,0.75,False,True,False
0,145,5.0,"(8, 28)",taxation,6,0.75,False,True,False
