Step,AgentID,Wealth,Position,Exp name,Vision,Tax Rate,Ams map,Death,Inst regrowth
0,0,5.0,"(20, 40)",death,6,1,True,False,False
0,1,5.0,"(17, 9)",death,6,1,True,False,False
0,2,5.0,"(39, 17)",death,6,1,True,False,False
0,3,5.0,"(14, 30)",death,6,1,True,False,False
0,4,5.0,"(21, 39)",death,6,1,True,False,False
0,5,5.0,"(1, 32)",death,6,1,True,False,False
0,6,5.0,"(42, 31)",death,6,1,True,False,False
0,7,5.0,"(11, 47)",death,6,1,True,False,False
0,8,5.0,"(49, 16)",death,6,1,True,False,False
0,9,5.0,"(41, 36)",death,6,1,True,False,False
0,10,5.0,"(33, 17)",death,6,1,True,False,False
0,11,5.0,"(35, 33)",death,6,1,True,False,False
0,12,5.0,"(44, 20)",death,6,1,True,False,False
0,13,5.0,"(23, 33)",death,6,1,True,False,False
0,14,5.0,"(29, 4)",death,6,1,True,False,False
0,15,5.0,"(27, 32)",death,6,1,True,False,False
0,16,5.0,"(14, 26)",death,6,1,True,False,False
0,17,5.0,"(10, 19)",death,6,1,True,False,False
0,18,5.0,"(3, 39)",death,6,1,True,False,False
0,19,5.0,"(43, 19)",death,6,1,True,False,False
0,20,5.0,"(26, 13)",death,6,1,True,False,False
0,21,5.0,"(7, 27)",death,6,1,True,False,False
0,22,5.0,"(37, 38)",death,6,1,True,False,False
0,23,5.0,"(27, 43)",death,6,1,True,False,False
0,24,5.0,"(33, 47)",death,6,1,True,False,False
0,25,5.0,"(20, 23)",death,6,1,True,False,False
0,26,5.0,"(20, 42)",death,6,1,True,False,False
0,27,5.0,"(43, 12)",death,6,1,True,False,False
0,28,5.0,"(20, 40)",death,6,1,True,False,False
0,29,5.0,"(11, 31)",death,6,1,True,False,False
0,30,5.0,"(33, 6)",death,6,1,True,False,False
0,31,5.0,"(0, 33)",death,6,1,True,False,False
0,32,5.0,"(32, 5)",death,6,1,True,False,False
0,33,5.0,"(35, 36)",death,6,1,True,False,False
0,34,5.0,"(32, 3)",death,6,1,True,False,False
0,35,5.0,"(8, 28)",death,6,1,True,False,False
0,36,5.0,"(2, 8)",death,6,1,True,False,False
0,37,5.0,"(10, 19)",death,6,1,True,False,False
0,38,5.0,"(19, 34)",death,6,1,True,False,False
0,39,5.0,"(16, 38)",death,6,1,True,False,False
0,40,5.0,"(18, 40)",death,6,1,True,False,False
0,41,5.0,"(36, 44)",death,6,1,True,False,False
0,42,5.0,"(43, 13)",death,6,1,True,False,False
0,43,5.0,"(23, 2)",death,6,1,True,False,False
0,44,5.0,"(20, 38)",death,6,1,True,False,False
0,45,5.0,"(1, 23)",death,6,1,True,False,False
0,46,5.0,"(26, 15)",death,6,1,True,False,False
0,47,5.0,"(27, 26)",death,6,1,True,False,False
0,48,5.0,"(27, 6)",death,6,1,True,False,False
0,49,5.0,"(35, 27)",death,6,1,True,False,False
0,50,5.0,"(7, 23)",death,6,1,True,False,False
0,51,5.0,"(41, 41)",death,6,1,True,False,False
0,52,5.0,"(30, 28)",death,6,1,True,False,False
0,53,5.0,"(13, 42)",death,6,1,True,False,False
0,54,5.0,"(44, 38)",death,6,1,True,False,False
0,55,5.0,"(9, 14)",death,6,1,True,False,False
0,56,5.0,"(2, 10)",death,6,1,True,False,False
0,57,5.0,"(1, 41)",death,6,1,True,False,False
0,58,5.0,"(13, 9)",death,6,1,True,False,False
0,59,5.0,"(29, 34)",death,6,1,True,False,False
0,60,5.0,"(2, 22)",death,6,1,True,False,False
0,61,5.0,"(37, 8)",death,6,1,True,False,False
0,62,5.0,"(15, 19)",death,6,1,True,False,False
0,63,5.0,"(47, 46)",death,6,1,True,False,False
0,64,5.0,"(10, 28)",death,6,1,True,False,False
0,65,5.0,"(38, 35)",death,6,1,True,False,False
0,66,5.0,"(11, 21)",death,6,1,True,False,False
0,67,5.0,"(25, 41)",death,6,1,True,False,False
0,68,5.0,"(35, 42)",death,6,1,True,False,False
0,69,5.0,"(1, 23)",death,6,1,True,False,False
0,70,5.0,"(17, 46)",death,6,1,True,False,False
0,71,5.0,"(37, 28)",death,6,1,True,False,False
0,72,5.0,"(16, 0)",death,6,1,True,False,False
0,73,5.0,"(7, 30)",death,6,1,True,False,False
0,74,5.0,"(6, 26)",death,6,1,True,False,False
0,75,5.0,"(5, 42)",death,6,1,True,False,False
0,76,5.0,"(40, 14)",death,6,1,True,False,False
0,77,5.0,"(14, 43)",death,6,1,True,False,False
0,78,5.0,"(2, 37)",death,6,1,True,False,False
0,79,5.0,"(15, 42)",death,6,1,True,False,False
0,80,5.0,"(13, 24)",death,6,1,True,False,False
0,81,5.0,"(2, 34)",death,6,1,True,False,False
0,82,5.0,"(19, 20)",death,6,1,True,False,False
0,83,5.0,"(6, 21)",death,6,1,True,False,False
0,84,5.0,"(26, 12)",death,6,1,True,False,False
0,85,5.0,"(36, 30)",death,6,1,True,False,False
0,86,5.0,"(28, 42)",death,6,1,True,False,False
0,87,5.0,"(28, 49)",death,6,1,True,False,False
0,88,5.0,"(39, 28)",death,6,1,True,False,False
0,89,5.0,"(39, 33)",death,6,1,True,False,False
0,90,5.0,"(5, 15)",death,6,1,True,False,False
0,91,5.0,"(6, 46)",death,6,1,True,False,False
0,92,5.0,"(45, 40)",death,6,1,True,False,False
0,93,5.0,"(29, 45)",death,6,1,True,False,False
0,94,5.0,"(34, 46)",death,6,1,True,False,False
0,95,5.0,"(5, 18)",death,6,1,True,False,False
0,96,5.0,"(7, 27)",death,6,1,True,False,False
0,97,5.0,"(5, 43)",death,6,1,True,False,False
0,98,5.0,"(30, 2)",death,6,1,True,False,False
0,99,5.0,"(34, 26)",death,6,1,True,False,False
0,100,5.0,"(21, 38)",death,6,1,True,False,False
0,101,5.0,"(6, 4)",death,6,1,True,False,False
0,102,5.0,"(36, 39)",death,6,1,True,False,False
